,provinceName,province_confirmedCount
0,云南省,5007
18,陕西省,5462
32,甘肃省,1561
49,新疆维吾尔自治区,2632
69,宁夏回族自治区,238
75,广东省,55674
97,湖南省,2442
113,湖北省,68862
131,山东省,4564
165,福建省,7326
177,江苏省,3796
192,黑龙江省,5389
207,辽宁省,3023
223,吉林省,40481
236,内蒙古自治区,8237
250,山西省,5006
262,北京市,25249
428,浙江省,5858
442,河北省,2839
468,四川省,11315
611,上海市,64978
631,香港,478020
632,澳门,1142
709,台湾,8498195
733,河南省,8692
870,贵州省,1756
916,西藏自治区,1522
1041,天津市,2627
1162,青海省,510
1196,安徽省,1699
1255,海南省,10287
1275,重庆市,8542
1336,广西壮族自治区,2431
1542,江西省,1547
