date,confirmed_cases
2020-01-01,41
2020-01-02,41
2020-01-03,41
2020-01-04,59
2020-01-05,59
2020-01-06,59
2020-01-07,59
2020-01-08,59
2020-01-09,59
2020-01-10,59
2020-01-11,59
2020-01-12,59
2020-01-13,59
2020-01-14,59
2020-01-15,59
2020-01-16,59
2020-01-17,62
2020-01-18,198
2020-01-19,275
2020-01-20,291
2020-01-21,440
2020-01-22,571
2020-01-23,830
2020-01-24,1287
2020-01-25,1975
2020-01-26,2744
2020-01-27,4515
2020-01-28,5974
2020-01-29,7711
2020-01-30,9692
2020-01-31,11791
2020-02-01,14380
2020-02-02,17205
2020-02-03,20438
2020-02-04,24324
2020-02-05,28018
2020-02-06,31161
2020-02-07,34546
2020-02-08,37251
2020-02-09,40235
2020-02-10,42708
